Name,Website,AngelList URL
Kevin Slavin,,https://angel.co/kevinslavin
Jared Hecht,,https://angel.co/jared-hecht
Dennis Crowley,,https://angel.co/dens
Alex Rainert,,https://angel.co/arainert
Rick Webb,,https://angel.co/rickwebb
Steven Pham,http://www.ycombinator.com,https://angel.co/steven-pham
Amy Buechler,http://www.ycombinator.com,https://angel.co/amy-buechler
Rick Morrison,http://www.ycombinator.com,https://angel.co/morrisor
Irina Lukashuk,http://www.ycombinator.com,https://angel.co/irina-lukashuk
Michael Seibel,http://www.ycombinator.com,https://angel.co/michael-seibel
Ilya Sukhar,http://www.ycombinator.com,https://angel.co/ilya-sukhar
jon levy,http://www.ycombinator.com,https://angel.co/jon-levy
Jessica Livingston,http://www.ycombinator.com,https://angel.co/jessica-livingston
Kat Manalac,http://www.ycombinator.com,https://angel.co/kat-manalac
Aaron Harris,http://www.ycombinator.com,https://angel.co/akh-ycombinator-com
Yuri Sagalov,http://www.ycombinator.com,https://angel.co/yuris
Tara,http://www.ycombinator.com,https://angel.co/tara-4
Dalton Caldwell,http://www.ycombinator.com,https://angel.co/daltonc
Kirsty Nathoo,http://www.ycombinator.com,https://angel.co/kirsty-nathoo
Trevor Blackwell,http://www.ycombinator.com,https://angel.co/tlbtlbtlb
Justin Kan,http://www.ycombinator.com,https://angel.co/justinkan
Steve Huffman,http://www.ycombinator.com,https://angel.co/spez
Emmett Shear,http://www.ycombinator.com,https://angel.co/emmett-shear
Sam Altman,http://www.ycombinator.com,https://angel.co/sama
Geoff Ralston,http://www.ycombinator.com,https://angel.co/gralston
Harj Taggar,http://www.ycombinator.com,https://angel.co/harj
Paul Buchheit,http://www.ycombinator.com,https://angel.co/buchheit
Jeremy Glick,,https://angel.co/jeremy-21
Ben Narasin,,https://angel.co/bhn77fo
Sundeep Peechu,,https://angel.co/speechu
Conrad Voorsanger,,https://angel.co/conrad-voorsanger
Franklyn Chien,,https://angel.co/frank-1
Gus Fuldner,,https://angel.co/gusf
Felix Shpilman,,https://angel.co/nxrfelix
Keval Desai,,https://angel.co/kevaldesai
Rob Hutter,,https://angel.co/rob-hutter
Heesun Lho,http://500.co,https://angel.co/heesun
Erhan Erdogan,http://500.co,https://angel.co/erhanerdogan
Rebecca Kux,http://500.co,https://angel.co/rebecca-kux
Kelsey Cullen ,http://500.co,https://angel.co/kelsey-cullen
Kate Seledets,http://500.co,https://angel.co/kate-seledets
Stephanie Lin,http://500.co,https://angel.co/theslinshady
Shalini Prakash,http://500.co,https://angel.co/shalini-prakash
Paulina Szyrmer,http://500.co,https://angel.co/paulina-szyrmer
James Riney,http://500.co,https://angel.co/jamesriney
Jasmine Liew,http://500.co,https://angel.co/jasmine-liew
Norman Chang,http://500.co,https://angel.co/norman-chang-1
Binh Tran,http://500.co,https://angel.co/binhtran
Sheel Mohnot,http://500.co,https://angel.co/sheel
Chelsea Ng,http://500.co,https://angel.co/chelsea-ng
Philipp Moehring,http://500.co,https://angel.co/pmoe
Adam Benayoun,http://500.co,https://angel.co/adam-benayoun
Brian Wang,http://500.co,https://angel.co/brian-wang
Yang LIU,http://500.co,https://angel.co/yang-liu-3
Eddie Thai,http://500.co,https://angel.co/eddie-thai
Nopadon Wongpakdee,http://500.co,https://angel.co/nopadon-wongpakdee
Bailey Maloney ,http://500.co,https://angel.co/bailey-maloney
Ryan Lawler,http://500.co,https://angel.co/ryan-lawler
Andy Young,http://500.co,https://angel.co/andyy
Monica Matison,http://500.co,https://angel.co/monica-matison
Emily Chiu,http://500.co,https://angel.co/emily-chiu
Selcuk Atli,http://500.co,https://angel.co/selcuk-atli
Carl Fritjofsson,http://500.co,https://angel.co/fritjofsson
Min Kim,http://500.co,https://angel.co/min-kim-12
Neil Dugal,http://500.co,https://angel.co/neil-dugal-1
Tina Bao,http://500.co,https://angel.co/tina-bao
Alex Miller,http://500.co,https://angel.co/fotoflo
Alexi Calvo,http://500.co,https://angel.co/alexi-calvo
Kristen Wong,http://500.co,https://angel.co/kristen-wong
Krating Poonpol,http://500.co,https://angel.co/krating-poonpol
Dave McClure,,https://angel.co/davemcclure
Jared Green,,https://angel.co/jared-green
Christian Dahlen,,https://angel.co/christian-dahlen
Mohanjit Jolly,http://www.dfj.com/,https://angel.co/jollymoh
Melisa Tucker,http://www.dfj.com/,https://angel.co/mtucker
Sunil Pai,http://www.dfj.com/,https://angel.co/sunil-pai
Jesse Robbins,http://www.dfj.com/,https://angel.co/jesserobbins
Shari Foldes,http://www.dfj.com/,https://angel.co/shari-foldes
Blair Silverberg,http://www.dfj.com/,https://angel.co/blair-silverberg
Katie Hughes,http://www.dfj.com/,https://angel.co/katie-hughes
Sam Fort,http://www.dfj.com/,https://angel.co/sam-fort
Josh Stein,http://www.dfj.com/,https://angel.co/dfjjosh
Tim Draper,http://www.dfj.com/,https://angel.co/timdraper
Heidi Roizen,http://www.dfj.com/,https://angel.co/heidiroizen
Jennifer Fonstad,http://www.dfj.com/,https://angel.co/jennifer-fonstad
Rachel Pike,http://www.dfj.com/,https://angel.co/rcp
Bill Bryant,http://www.dfj.com/,https://angel.co/seattlebill
Yuliya Mykhaylovska,http://lererhippeau.com/,https://angel.co/yuliya-mykhaylovska
Suraj Kapoor,http://lererhippeau.com/,https://angel.co/surajkapoor
Julian Moncada,http://lererhippeau.com/,https://angel.co/julian-moncada-1
Kate Shillo,http://lererhippeau.com/,https://angel.co/kate-shillo
Andrea Hippeau,http://lererhippeau.com/,https://angel.co/andreahippeau
Ben Lerer,http://lererhippeau.com/,https://angel.co/benjlerer
Taylor Greene,http://lererhippeau.com/,https://angel.co/taylor-greene
Nicola Korzenko,http://lererhippeau.com/,https://angel.co/nkorzenko
Blake Lyon,http://lererhippeau.com/,https://angel.co/blake-lyon
Jordan Cooper,http://lererhippeau.com/,https://angel.co/jordancooper
Eric Hippeau,http://lererhippeau.com/,https://angel.co/erichippeau
Adam Besvinick,http://www.lowercasellc.com,https://angel.co/besvinick
Matt Mazzeo,http://www.lowercasellc.com,https://angel.co/mazzeo
Chris Sacca,http://www.lowercasellc.com,https://angel.co/sacca
Ellie Wheeler,http://www.lowercasellc.com,https://angel.co/ellie-wheeler
Neil Rimer,http://www.indexventures.com,https://angel.co/neil-rimer
Vojtech Horna,http://www.indexventures.com,https://angel.co/vojtech
Dominic Jacquesson,http://www.indexventures.com,https://angel.co/dominic-jacquesson
George Henry,http://www.indexventures.com,https://angel.co/georgehdf
Shardul Shah,http://www.indexventures.com,https://angel.co/shardul-shah
Roman Fleck,http://www.indexventures.com,https://angel.co/roman-fleck
Imran Ghory,http://www.indexventures.com,https://angel.co/imranghory
Philipp Hartmann,http://www.indexventures.com,https://angel.co/philipp-hartmann
Bernard Dalle,http://www.indexventures.com,https://angel.co/bernard-dalle
Nina Faulhaber,http://www.indexventures.com,https://angel.co/ninafaulhaber
Gerald Rimer,http://www.indexventures.com,https://angel.co/geraldrimer
Mike Volpi,http://www.indexventures.com,https://angel.co/mavolpi
Robin Klein,http://www.indexventures.com,https://angel.co/robinklein
Terrence Rohan,http://www.indexventures.com,https://angel.co/tmrohan
Martin Mignot,http://www.indexventures.com,https://angel.co/martin-mignot
Danny Rimer,http://www.indexventures.com,https://angel.co/dannyrimer
Andy McLoughlin,http://softtechvc.com,https://angel.co/bandrew
Ashley Cravens,http://softtechvc.com,https://angel.co/ashcravens
Charles Hudson,http://softtechvc.com,https://angel.co/chudson
Stephanie Palmeri,http://softtechvc.com,https://angel.co/stephanie-palmeri
Jeff Clavier,http://softtechvc.com,https://angel.co/jeff
Blanca Rodriguez,http://foundercollective.com/,https://angel.co/blanca-rodriguez-montero
Jane Wu,http://foundercollective.com/,https://angel.co/wu_jane
Caterina Fake,http://foundercollective.com/,https://angel.co/caterina-fake
Richard F. Dulude,http://foundercollective.com/,https://angel.co/rd
Alex Davidov,http://foundercollective.com/,https://angel.co/alex-davidov
Craig Wilson,http://foundercollective.com/,https://angel.co/cgeoffwilson
David Frankel,http://foundercollective.com/,https://angel.co/david-frankel
