Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Assured Labor,https://angel.co/assured-labor,5,Sep '11,New York City,Marketplaces,http://www.assuredlabor.com,Nov-50,,7000000
20x200,https://angel.co/20x200,5,Dec '12,New York City,Art,http://www.20x200.com,10-Jan,,1045000
Manicube,https://angel.co/manicube,5,Aug '12,New York City,Consulting,http://www.manicube.com,Nov-50,,5000000
SundaySky,https://angel.co/sundaysky,5,Feb '14,New York City,Personalization,http://www.sundaysky.com,51-200,,37000000
Paddle8,https://angel.co/paddle8,5,Sep '13,New York City,Collectibles,http://www.paddle8.com,Nov-50,,17000000
Sefaira,https://angel.co/sefaira,5,Sep '13,New York City,Architecture,http://www.sefaira.com,Nov-50,Seed,20000000
SolveBio,https://angel.co/solvebio,5,Nov '13,New York City,Genetic Testing,https://www.solvebio.com,10-Jan,,2000000
Breather,https://angel.co/breather,5,Apr '13,New York City,Collaborative Consumption,http://breather.com,Nov-50,Series B,27500000
Plated,https://angel.co/plated,5,Jan '13,New York City,Social Media Platforms,https://www.plated.com/,51-200,,6400000
Cord,https://angel.co/cord,5,Jun '14,New York City,Messaging,http://www.cord.im,10-Jan,Seed,1800000
Pilot,https://angel.co/pilot-5,5,Aug '14,New York City,Internet Infrastructure,http://pilotfiber.com,Nov-50,Seed,775000
Fitocracy,https://angel.co/fitocracy,5,Jun '11,New York City,Quantified Self,http://www.fitocracy.com,10-Jan,,250000
Dash,https://angel.co/dash,5,Oct '12,New York City,Quantified Self,http://www.dashmobile.co,10-Jan,Seed,500000
Directly,https://angel.co/directly,5,Jun '13,San Francisco,Virtual Workforces,http://www.directly.com,Nov-50,Series A,13000000
theSkimm,https://angel.co/theskimm,5,Feb '14,New York City,News,http://www.theskimm.com,Nov-50,Seed,1579577
WhoSay,https://angel.co/whosay,5,Aug '12,New York City,Celebrity,http://www.whosay.com/,Nov-50,Series C,14375010
Wonolo,https://angel.co/wonolo,5,Apr '14,San Francisco,Temporary Staffing,http://wonolo.com,Nov-50,,2200000
Cleanly,https://angel.co/cleanly,5,May '14,New York City,Logistics,http://www.getcleanly.com,10-Jan,Seed,2300000
Datadog,https://angel.co/datadog,5,Oct '13,New York City,Cloud Infrastructure,http://www.datadoghq.com,51-200,Series B,22400000
Valet Anywhere,https://angel.co/valet-anywhere,5,Apr '14,New York City,Parking,http://www.valetanywhere.com,Nov-50,,1350000
Fundera,https://angel.co/fundera,5,Feb '14,New York City,Loans,http://fundera.com,Nov-50,Series B,14900000
Hightower,https://angel.co/hightower,5,Jul '13,New York City,Commercial Real Estate,http://www.gethightower.com,Nov-50,Series B,21620000
Kinsa,https://angel.co/kinsa,5,Apr '13,New York City,Mobile Health,http://www.kinsahealth.com,Nov-50,,11600000
Canary,https://angel.co/canary-1,5,Mar '14,New York City,Deep Learning,http://canary.is,51-200,Series B,41200000
CoPromote,https://angel.co/copromote,5,Nov '10,New York City,Social Media Marketing,http://www.copromote.com,Nov-50,Series A,6540000
Reonomy,https://angel.co/reonomy,5,Feb '12,New York City,Information Services,http://www.reonomy.com,Nov-50,Series B,17850000
GoChime,https://angel.co/gochime,5,Aug '12,New York City,Marketing Automation,http://www.gochime.com,10-Jan,,850000
Synthesio,https://angel.co/synthesio-1,5,Mar '14,New York City,Social Media,http://synthesio.com,51-200,Series B,22000000
Updater,https://angel.co/updater,5,Nov '13,New York City,SaaS,https://www.updater.com,Nov-50,,9500000
